,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
0,22013,203083,Andre Drummond,1610612765,DET,Detroit Pistons,OffRebound,Offensive,0.466,81,0.36,1.046,0.562,0.124,0.056,0.116,0.022,0.548,0.562,372,389,176,313,137
1,22013,201577,Robin Lopez,1610612757,POR,Portland Trail Blazers,OffRebound,Offensive,0.348,82,0.268,0.996,0.482,0.101,0.035,0.088,0.013,0.507,0.482,227,226,96,199,103
2,22013,201593,Nikola Pekovic,1610612750,MIN,Minnesota Timberwolves,OffRebound,Offensive,0.803,54,0.2,1.23,0.608,0.152,0.034,0.14,0.017,0.629,0.608,178,219,90,148,58
3,22013,202683,Enes Kanter,1610612762,UTA,Utah Jazz,OffRebound,Offensive,0.734,80,0.168,1.181,0.574,0.137,0.044,0.115,0.033,0.593,0.574,182,215,89,155,66
4,22013,203076,Anthony Davis,1610612740,NOP,New Orleans Pelicans,OffRebound,Offensive,0.869,67,0.128,1.274,0.61,0.149,0.03,0.131,0.018,0.643,0.61,168,214,86,141,55
5,22013,201567,Kevin Love,1610612750,MIN,Minnesota Timberwolves,OffRebound,Offensive,0.748,77,0.095,1.189,0.567,0.206,0.039,0.2,0.033,0.611,0.571,180,214,80,141,61
6,22013,202326,DeMarcus Cousins,1610612758,SAC,Sacramento Kings,OffRebound,Offensive,0.672,72,0.109,1.134,0.57,0.194,0.048,0.156,0.054,0.591,0.57,186,211,86,151,65
7,22013,2216,Zach Randolph,1610612763,MEM,Memphis Grizzlies,OffRebound,Offensive,0.413,79,0.135,1.005,0.497,0.087,0.034,0.077,0.024,0.507,0.497,207,208,93,187,94
8,22013,202328,Greg Monroe,1610612765,DET,Detroit Pistons,OffRebound,Offensive,0.492,82,0.138,1.059,0.523,0.124,0.054,0.124,0.011,0.548,0.523,186,197,81,155,74
9,22013,2730,Dwight Howard,1610612745,HOU,Houston Rockets,OffRebound,Offensive,0.718,71,0.128,1.16,0.645,0.29,0.059,0.254,0.071,0.604,0.645,169,196,78,121,43
10,22013,203096,Jared Sullinger,1610612738,BOS,Boston Celtics,OffRebound,Offensive,0.567,74,0.157,1.086,0.51,0.144,0.023,0.132,0.046,0.54,0.51,174,189,78,153,75
11,22013,201149,Joakim Noah,1610612741,CHI,Chicago Bulls,OffRebound,Offensive,0.42,80,0.163,1.016,0.494,0.145,0.048,0.129,0.027,0.527,0.494,186,189,76,154,78
